#At time x allocated y bytes for process z from i to j
at time 1 allocated 256 bytes for process 1 from 0 to 255 
at time 1 allocated 250 bytes for process 2 from 256 to 511 
at time 1 allocated 250 bytes for process 3 from 512 to 767 
at time 1 allocated 256 bytes for process 4 from 768 to 1023 
at time 26 freed 250 bytes for process 3 from 512 to 767 
at time 26 allocated 256 bytes for process 5 from 512 to 767 
at time 31 freed 256 bytes for process 4 from 768 to 1023 
at time 33 freed 256 bytes for process 1 from 0 to 255 
at time 57 freed 250 bytes for process 2 from 256 to 511 
at time 74 freed 256 bytes for process 5 from 512 to 767 
